ZONE,HOUR,avg_ratio,pct_hours_saturated,n_days
Santa Catarina,17,0.8433304220146326,0.0,30
MTY_Guadalupe,15,0.8396114996114996,0.0,30
San Pedro,16,0.8382542530091549,0.0,30
MTY_Guadalupe,16,0.8362767264941178,0.0,30
Santa Catarina,15,0.8362231373144685,0.0,30
Cumbres Poniente,17,0.8360738822580928,0.0,30
Escobedo,16,0.8353493619670089,0.0,30
Cumbres Poniente,15,0.8345856920856921,0.0,30
Santa Catarina,1,0.8333333333333334,0.0,30
Escobedo,18,0.8302370777370777,0.0,30
Escobedo,17,0.8294179894179894,0.0,30
Centro,15,0.8282569185941396,0.0,30
Apodaca Centro,16,0.8247703222703222,0.0,30
La Fe,18,0.8247619047619048,0.0,30
Escobedo,15,0.8204365079365079,0.0,30
San Nicolás,17,0.8171041458541458,0.0,30
San Pedro,18,0.8130785064608594,0.0,30
MTY_Apodaca_Huinalá,16,0.8111111111111111,0.0,30
Independencia,18,0.8110185185185185,0.0,30
Centro,17,0.810530675321697,0.0,30
Apodaca Centro,15,0.8061916786916787,0.0,30
Cumbres Poniente,18,0.8022025197025198,0.0,30
Centro,16,0.8006938283021874,0.0,30
La Fe,4,0.8,0.0,30
La Fe,5,0.8,0.0,30
Independencia,17,0.7998881673881674,0.0,30
San Nicolás,15,0.7985860516295299,0.0,30
MTY_Apodaca_Huinalá,15,0.7942929292929293,0.0,30
San Nicolás,16,0.7903579753579754,0.0,30
Cumbres Poniente,16,0.7839191851033956,0.0,30
Santa Catarina,4,0.7833333333333333,0.0,30
Santa Catarina,5,0.7833333333333333,0.0,30
La Fe,17,0.7830112044817927,0.0,30
La Fe,16,0.7739161220043572,0.0,30
MTY_Apodaca_Huinalá,17,0.7711111111111111,0.0,30
Independencia,15,0.7605239368474662,0.0,30
MTY_Apodaca_Huinalá,18,0.7584920634920634,0.0,30
Independencia,4,0.75,0.0,30
Santa Catarina,6,0.75,0.0,30
Independencia,1,0.7333333333333333,0.0,30
Santa Catarina,2,0.7333333333333333,0.0,30
Independencia,5,0.7166666666666667,0.0,30
Independencia,6,0.7166666666666667,0.0,30
La Fe,2,0.7166666666666667,0.0,30
Escobedo,6,0.7,0.0,30
Carretera Nacional,9,0.6747222222222222,0.0,30
Apodaca Centro,6,0.6666666666666666,0.0,30
La Fe,6,0.6666666666666666,0.0,30
Centro,8,0.6599119399119399,0.0,30
Mitras Centro,8,0.6517063492063493,0.0,30
Escobedo,1,0.65,0.0,30
Independencia,2,0.65,0.0,30
Escobedo,2,0.6333333333333333,0.0,30
Independencia,3,0.6333333333333333,0.0,30
San Pedro,8,0.6329497354497354,0.0,30
Mitras Centro,9,0.6249758792405852,0.0,30
La Fe,9,0.6244444444444445,0.0,30
Apodaca Centro,1,0.6166666666666667,0.0,30
Apodaca Centro,3,0.6166666666666667,0.0,30
Escobedo,4,0.6166666666666667,0.0,30
MTY_Guadalupe,8,0.6152038593215063,0.0,30
Centro,3,0.6138888888888888,0.0,30
La Fe,8,0.6126190476190476,0.0,30
Independencia,8,0.6113675213675214,0.0,30
Centro,1,0.611111111111111,0.0,30
Apodaca Centro,8,0.6100925925925925,0.0,30
Cumbres Poniente,8,0.6052248677248677,0.0,30
Santa Catarina,9,0.604978354978355,0.0,30
Cumbres Poniente,9,0.6045634920634921,0.0,30
San Nicolás,9,0.6040207768381143,0.0,30
San Nicolás,8,0.602888028151186,0.0,30
Apodaca Centro,4,0.6,0.0,30
Apodaca Centro,5,0.6,0.0,30
Cumbres Poniente,5,0.6,0.0,30
Santiago,8,0.6,0.0,30
Carretera Nacional,8,0.5994444444444444,0.0,30
Escobedo,8,0.5983333333333333,0.0,30
Apodaca Centro,9,0.5976984126984127,0.0,30
MTY_Apodaca_Huinalá,8,0.5928571428571429,0.0,30
MTY_Guadalupe,9,0.5924229691876751,0.0,30
San Pedro,9,0.589023569023569,0.0,30
Centro,9,0.5876402486402487,0.0,30
MTY_Apodaca_Huinalá,9,0.5873015873015872,0.0,30
Santa Catarina,8,0.5864072039072039,0.0,30
Apodaca Centro,2,0.5833333333333334,0.0,30
Centro,2,0.5833333333333334,0.0,30
La Fe,1,0.5833333333333334,0.0,30
La Fe,3,0.5833333333333334,0.0,30
